Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
331 (tie),New Mexico State University-Main Campus,"Research University, For Sports Fans, State School",48100,94400,0.62,0.21
331 (tie),Oklahoma State University-Main Campus,"Research University, For Sports Fans, State School",49700,94400,0.54,0.24
331 (tie),Southern California Institute of Architecture,Private School,50200,94400,0.66,0
331 (tie),University of Pittsburgh-Pittsburgh Campus,"Research University, For Sports Fans, State School",52100,94400,0.5,0.25
337 (tie),Quinnipiac University,"Private School, For Sports Fans",52400,94300,0.44,0.12
337 (tie),Texas Christian University,"Private School, Religious, Research University, For Sports Fans",52900,94300,0.52,0.08
339,Jefferson College of Health Sciences,Private School,54800,94200,N/A,0.04
340 (tie),Indiana University-Bloomington,"Research University, For Sports Fans, State School",50300,94100,0.48,0.15
340 (tie),St. Mary's University,"Private School, Religious",47800,94100,0.6,0.2
342 (tie),Gustavus Adolphus College,"Liberal Arts School, Private School, Religious",48200,94000,0.47,0.23
342 (tie),Hendrix College,"Liberal Arts School, Private School, Religious",45800,94000,0.53,0.28
342 (tie),Morehouse College,"Liberal Arts School, Private School",52100,94000,0.57,0.29
345 (tie),Montclair State University,"Research University, State School",47400,93900,0.42,0.09
345 (tie),University of Oregon,"Research University, For Sports Fans, State School",47600,93900,0.46,0.13
347,California State University-Fresno,"Research University, For Sports Fans, State School",47800,93800,0.57,0.1
348,Whittier College,"Liberal Arts School, Private School",47000,93700,0.53,0.08
349 (tie),The University of Texas Medical Branch,State School,60000,93600,0.86,0.03
349 (tie),The University of Texas at Arlington,"Research University, For Sports Fans, State School",52000,93600,0.55,0.21
351 (tie),Austin College,"Liberal Arts School, Private School, Religious",48200,93500,0.49,0.22
351 (tie),Goucher College,"Liberal Arts School, Private School",47100,93500,0.53,0.07
353 (tie),Loma Linda University,"Private School, Religious",66400,93300,0.81,0.04
353 (tie),Spring Hill College,"Liberal Arts School, Private School, Religious",43000,93300,0.46,0.12
353 (tie),University of Dallas,"Business, Private School, Religious",49100,93300,0.51,0.12
356 (tie),Louisiana Tech University,"Research University, For Sports Fans, State School",50300,93200,0.59,0.2
356 (tie),University of Maryland-University College,State School,53100,93200,0.57,0.26
356 (tie),Western New England University,Private School,53400,93200,0.49,0.2
359 (tie),Emerson College,Private School,46800,93100,0.41,0
359 (tie),North Dakota State University-Main Campus,"Research University, For Sports Fans, State School",51400,93100,0.57,0.25
359 (tie),The Juilliard School,"Art, Private School",50700,93100,N/A,0
359 (tie),Universidad Metropolitana,Private School,47800,93100,0.57,0.02
359 (tie),University of Alaska Anchorage,State School,54300,93100,0.55,0.1
364 (tie),Pennsylvania State University-Penn State Erie-Behrend College,State School,55200,93000,0.45,0.28
364 (tie),University of Michigan-Dearborn,State School,52400,93000,0.36,0.33
366,Oregon Health & Science University,State School,63500,92900,0.82,0.08
367 (tie),University of Cincinnati-Main Campus,"Research University, For Sports Fans, State School",50700,92800,0.49,0.18
367 (tie),University of Colorado Denver/Anschutz Medical Campus,"Research University, State School",49900,92800,0.52,0.14
367 (tie),University of Wisconsin-Platteville,State School,53600,92800,0.5,0.33
370 (tie),St Bonaventure University,"Private School, Religious, For Sports Fans",45700,92600,0.39,0.08
370 (tie),Sonoma State University,State School,50100,92600,0.53,0.11
370 (tie),University of Mary Washington,State School,50600,92600,0.47,0.18
373,Pennsylvania State University-Penn State Harrisburg,State School,52400,92500,0.49,0.27
374 (tie),Ohio State University-Main Campus,"Research University, For Sports Fans, State School",51900,92400,0.49,0.26
374 (tie),Suffolk University,"Private School, Research University",49000,92400,0.37,0.06
374 (tie),University of Miami,"Private School, Research University, For Sports Fans",52700,92400,0.49,0.22
377 (tie),Colorado State University-Fort Collins,"Research University, For Sports Fans, State School",49900,92300,0.51,0.26
377 (tie),Thomas Jefferson University,Private School,61800,92300,0.84,0.06
377 (tie),University of Arkansas,"Research University, For Sports Fans, State School",49100,92300,0.51,0.19
380 (tie),Illinois Wesleyan University,"Liberal Arts School, Private School",49000,92200,0.42,0.22
380 (tie),Taylor University,"Private School, Religious",44900,92200,0.6,0.16
382,University at Buffalo,"Research University, For Sports Fans, State School",50200,92100,0.47,0.32
383 (tie),Lamar University,"Research University, For Sports Fans, State School",51400,92000,0.56,0.15
383 (tie),Montana State University,"Research University, For Sports Fans, State School",50900,92000,0.55,0.28
383 (tie),University of Wyoming,"Research University, For Sports Fans, State School",49700,92000,0.58,0.23
386,Washington Adventist University,"Private School, Religious",51700,91900,0.76,0.06
387 (tie),University of North Dakota,"Research University, For Sports Fans, State School",50900,91800,0.57,0.16
387 (tie),Utah State University,"Research University, For Sports Fans, State School",49200,91800,0.58,0.14
389 (tie),Sacred Heart University,"Private School, Religious, For Sports Fans",52400,91700,0.46,0.16
389 (tie),St. Thomas Aquinas College,Private School,46800,91700,0.49,0.09
389 (tie),University of Idaho,"Research University, For Sports Fans, State School",49300,91700,0.54,0.22
389 (tie),University of Kentucky,"Research University, For Sports Fans, State School",48400,91700,0.5,0.18
393,Widener University,"Private School, Research University",52600,91600,0.58,0.11
394 (tie),University of Nebraska-Lincoln,"Research University, For Sports Fans, State School",48700,91500,0.54,0.21
394 (tie),Valparaiso University,"Private School, Religious, For Sports Fans",50700,91500,0.54,0.28
396 (tie),Drew University,"Liberal Arts School, Private School, Religious",49100,91400,0.41,0.14
396 (tie),Northern Illinois University,"Research University, For Sports Fans, State School",49400,91400,0.46,0.19
398 (tie),Christian Brothers University,"Private School, Religious",48800,91300,0.61,0.15
398 (tie),Mount Carmel College of Nursing,"Private School, Religious",54100,91300,N/A,0
398 (tie),St Mary's College of Maryland,"Liberal Arts School, State School",50600,91300,0.36,0.28
401 (tie),Kettering College,"Private School, Religious",52800,91200,N/A,0
401 (tie),SUNY College at Geneseo,State School,47800,91200,0.48,0.26
403 (tie),CUNY New York City College of Technology,State School,48300,91100,0.4,0.16
403 (tie),Loyola University Chicago,"Private School, Religious, Research University, For Sports Fans",49600,91100,0.45,0.15
403 (tie),North Central College,"Private School, Religious",47200,91100,0.46,0.08
403 (tie),Pitzer College,"Liberal Arts School, Private School",49000,91100,0.57,0.13
407 (tie),Pacific University,Private School,48600,90900,0.68,0.08
407 (tie),The University of Alabama,"Party School, Research University, For Sports Fans, State School",49000,90900,0.51,0.15
407 (tie),University of Massachusetts-Dartmouth,"Research University, State School",50000,90900,0.49,0.21
410 (tie),Alderson Broaddus University,"Private School, Religious",49500,90800,0.78,0.15
410 (tie),Brigham Young University-Idaho,"Private School, Religious",50400,90800,0.59,0.13
410 (tie),Kennesaw State University,State School,48800,90800,0.46,0.21
413 (tie),LIU Post,Private School,48700,90700,0.47,0.05
413 (tie),Mount St Mary's University,"Private School, Religious",46400,90700,0.47,0.09
413 (tie),University of Nevada-Reno,"Research University, For Sports Fans, State School",50300,90700,0.48,0.25
416 (tie),Adelphi University,"Private School, Research University",51500,90600,0.5,0.06
416 (tie),Fairleigh Dickinson University-Metropolitan Campus,Private School,47400,90600,0.44,0.23
416 (tie),Florida State University,"Research University, For Sports Fans, State School",47000,90600,0.5,0.18
416 (tie),Illinois State University,"Research University, For Sports Fans, State School",47900,90600,0.48,0.09
416 (tie),Kansas State University,"Research University, For Sports Fans, State School",50000,90600,0.51,0.17
416 (tie),Saint Louis University,"Private School, Religious, Research University, For Sports Fans",51000,90600,0.58,0.12
422,Thomas Edison State University,State School,50400,90500,0.56,0
423 (tie),CUNY City College,State School,51400,90400,0.55,0.3
423 (tie),Creighton University,"Private School, Religious, For Sports Fans",50000,90400,0.57,0.09
423 (tie),Saint Norbert College,"Liberal Arts School, Private School, Religious",47800,90400,0.46,0.15
423 (tie),Texas Tech University Health Sciences Center,State School,58100,90400,0.85,0.03
427 (tie),Abilene Christian University,"Private School, Religious, For Sports Fans",46400,90300,0.57,0.07
427 (tie),California State University-Stanislaus,State School,47000,90300,0.52,0.09
427 (tie),University of Mount Union,"Private School, Religious",45400,90300,0.47,0.17
427 (tie),New England Institute of Technology,Private School,48200,90300,0.42,0.17
427 (tie),Stevenson University,Private School,47800,90300,0.51,0.19
427 (tie),Temple University,"Research University, For Sports Fans, State School",48800,90300,0.48,0.12
433 (tie),Bellarmine University,"Private School, Religious",46900,90200,0.53,0.07
433 (tie),Mount Saint Mary's University,"Private School, Religious",51400,90200,0.57,0.03
433 (tie),University of Minnesota-Duluth,State School,49600,90200,0.46,0.32
436 (tie),Bennington College,"Liberal Arts School, Private School",45800,90100,0.37,0.05
436 (tie),Elon University,"Private School, For Sports Fans",49400,90100,0.44,0.07
438 (tie),Molloy College,"Private School, Religious",57100,90000,0.61,0.04
438 (tie),Prairie View A & M University,"Research University, For Sports Fans, State School",54300,90000,0.62,0.2
438 (tie),University of New Mexico-Main Campus,"Research University, For Sports Fans, State School",45500,90000,0.59,0.19
441 (tie),Bryn Mawr College,"Liberal Arts School, Private School",50200,89900,0.53,0.19
441 (tie),The University of Texas Health Science Center at San Antonio,State School,57800,89900,0.81,0.04
443 (tie),Marietta College,Private School,49000,89700,0.58,0.39
443 (tie),Farmingdale State College,State School,49100,89700,0.42,0.11
445 (tie),Dominican University of California,Private School,51900,89600,0.6,0.13
445 (tie),Lebanon Valley College,"Private School, Religious",46100,89600,0.42,0.13
445 (tie),LIU Brooklyn,"Private School, For Sports Fans",54900,89600,0.69,0.07
448 (tie),Le Moyne College,"Private School, Religious",47300,89500,0.52,0.17
448 (tie),Rutgers University-Camden,"For Sports Fans, State School",48200,89500,0.5,0.11
448 (tie),Simmons College,"Private School, Sober School",51300,89500,0.55,0.03
448 (tie),"University of St. Thomas - Houston, TX","Private School, Religious",48200,89500,0.48,0.06
448 (tie),The University of Tennessee-Knoxville,"Research University, For Sports Fans, State School",48000,89500,0.52,0.2
448 (tie),Xavier University,"Private School, Religious, For Sports Fans",48600,89500,0.49,0.06
454 (tie),Elizabethtown College,"Liberal Arts School, Private School, Religious",46600,89400,0.42,0.26
454 (tie),Rockhurst University,"Private School, Religious",51500,89400,0.58,0.11
454 (tie),University of Houston-Clear Lake,State School,48200,89400,0.51,0.29
457 (tie),Excelsior College,Private School,53800,89300,0.71,0.01
457 (tie),Johnson & Wales University-Online,"Business, Private School",48500,89300,N/A,0
457 (tie),Knox College,"Liberal Arts School, Private School",45600,89300,0.47,0.24
457 (tie),"Westminster College - Salt Lake City, UT",Private School,48800,89300,0.56,0.08
461 (tie),Framingham State University,State School,46900,89100,0.42,0.05
461 (tie),Mississippi State University,"Research University, For Sports Fans, State School",47900,89100,0.58,0.27
461 (tie),University of Louisiana at Lafayette,"Research University, For Sports Fans, State School",46300,89100,0.53,0.18
464 (tie),Alfred University,Private School,48600,89000,0.46,0.19
464 (tie),Bard College,"Liberal Arts School, Private School",48500,89000,0.49,0
464 (tie),Biola University,"Private School, Religious, Research University",47000,89000,0.57,0.07
464 (tie),Towson University,"For Sports Fans, State School",48200,89000,0.47,0.14
468 (tie),Lycoming College,"Liberal Arts School, Private School, Religious",44500,88900,0.46,0.2
468 (tie),Lynchburg College,"Private School, Religious",46200,88900,0.59,0.11
470 (tie),Brigham Young University-Hawaii,"Private School, Religious",47400,88800,0.6,0.08
470 (tie),Duquesne University,"Private School, Religious, Research University, For Sports Fans",49600,88800,0.5,0.11
470 (tie),Hawaii Pacific University,Private School,49300,88800,0.57,0.14
470 (tie),Philadelphia University,Private School,46100,88800,0.34,0.04
470 (tie),SUNY College at Old Westbury,State School,45400,88800,0.42,0.06
470 (tie),Saint Mary's University of Minnesota,"Private School, Religious",48800,88800,0.52,0.04
470 (tie),Vaughn College of Aeronautics and Technology,Private School,50700,88800,N/A,0.06
477 (tie),New England College,Private School,42900,88700,0.33,0.04
477 (tie),Walla Walla University,"Private School, Religious",49900,88700,0.55,0.2
479 (tie),Central Washington University,State School,49000,88600,0.46,0.13
479 (tie),Holy Family University,"Private School, Religious",48300,88600,0.45,0.02
479 (tie),John F. Kennedy University,Private School,49700,88600,N/A,0
479 (tie),Mount Holyoke College,"Liberal Arts School, Private School",48800,88600,0.52,0.29
479 (tie),Sewanee-The University of the South,"Liberal Arts School, Private School, Religious",46000,88600,0.47,0.14
479 (tie),West Chester University of Pennsylvania,State School,46700,88600,0.48,0.09
479 (tie),William Paterson University of New Jersey,State School,47800,88600,0.42,0.06
486 (tie),Cornell College,"Liberal Arts School, Private School, Religious",45200,88500,0.47,0.27
486 (tie),Ohio University-Main Campus,"Research University, For Sports Fans, State School",48300,88500,0.48,0.1
486 (tie),Southwestern University,"Liberal Arts School, Private School, Religious",50300,88500,0.52,0.19
489,The University of Texas at El Paso,"Research University, For Sports Fans, State School",46300,88400,0.62,0.22
490,Benedictine College,"Private School, Religious",45800,88300,0.6,0.14
491 (tie),Point Loma Nazarene University,"Private School, Religious",48300,88200,0.59,0.09
491 (tie),St Francis College,"Private School, For Sports Fans",49300,88200,0.54,0.16
491 (tie),Western Michigan University,"Research University, For Sports Fans, State School",48100,88200,0.48,0.15
491 (tie),William Jewell College,"Liberal Arts School, Private School",48200,88200,0.6,0.12
495,Calvin College,"Private School, Religious, Sober School",47000,88100,0.55,0.22
496 (tie),Canisius College,"Private School, Religious, For Sports Fans",43800,88000,0.47,0.11
496 (tie),Saint Josephs College,"Private School, Religious",47000,88000,0.54,0.17
498 (tie),Carroll College,"Private School, Religious",45600,87900,0.5,0.25
498 (tie),Stockton University,State School,44500,87900,0.48,0.13
500 (tie),King's College,"Private School, Religious",44100,87700,0.43,0.12
500 (tie),Tennessee Technological University,"Research University, For Sports Fans, State School",51000,87700,0.5,0.26
500 (tie),University of Massachusetts-Boston,"Research University, State School",50400,87700,0.53,0.12
503 (tie),Central Connecticut State University,"For Sports Fans, State School",49900,87600,0.46,0.14
503 (tie),City University of Seattle,"Business, Private School",48900,87600,0.51,0.02
503 (tie),Wilkes University,Private School,48200,87600,0.51,0.13
506 (tie),CUNY Hunter College,State School,48700,87500,0.53,0.08
506 (tie),Concordia University-Irvine,"Private School, Religious",46700,87500,0.54,0.02
506 (tie),SUNY College of Environmental Science and Forestry,"Research University, State School",49700,87500,0.61,0.43
506 (tie),The College of Wooster,"Liberal Arts School, Private School",45800,87500,0.52,0.28
506 (tie),University of Wisconsin-Eau Claire,State School,49100,87500,0.45,0.14
511 (tie),California State University-San Marcos,State School,47900,87400,0.47,0.06
511 (tie),Gordon College,"Liberal Arts School, Private School, Religious, Sober School",44700,87400,0.57,0.15
511 (tie),Millsaps College,"Liberal Arts School, Private School, Religious",47100,87400,0.55,0.28
511 (tie),Oglethorpe University,"Liberal Arts School, Private School",48800,87400,0.49,0.12
511 (tie),Salisbury University,State School,47600,87400,0.48,0.13
516 (tie),California State University-Los Angeles,State School,47100,87300,0.53,0.18
516 (tie),Hamline University,"Private School, Religious",45500,87300,0.52,0.05
516 (tie),Holy Names University,"Private School, Religious",48100,87300,0.74,0.02
516 (tie),University of North Carolina at Charlotte,"Research University, For Sports Fans, State School",49300,87300,0.5,0.25
520 (tie),Oakland University,"Research University, For Sports Fans, State School",48900,87200,0.51,0.16
520 (tie),University of Maine,"Party School, Research University, For Sports Fans, State School",49000,87200,0.5,0.24
520 (tie),University of Nevada-Las Vegas,"Research University, For Sports Fans, State School",48100,87200,0.48,0.11
520 (tie),Washington & Jefferson College,"Liberal Arts School, Private School",45800,87200,0.38,0.21
524 (tie),Bloomsburg University of Pennsylvania,State School,46500,87100,0.5,0.08
524 (tie),National University,Private School,52500,87100,0.54,0.07
526 (tie),California State University-Bakersfield,"For Sports Fans, State School",47700,87000,0.56,0.14
526 (tie),Linfield College-McMinnville Campus,"Liberal Arts School, Private School, Religious",49000,87000,0.54,0.19
526 (tie),University of North Texas,"Research University, For Sports Fans, State School",46800,87000,0.45,0.12
529 (tie),Florida International University,"Research University, For Sports Fans, State School",46200,86900,0.5,0.16
529 (tie),Saint Cloud State University,State School,48500,86900,0.49,0.12
531 (tie),Moravian College,"Liberal Arts School, Private School, Religious",49600,86800,0.44,0.16
531 (tie),University of Pittsburgh-Johnstown,"Liberal Arts School, State School",46800,86800,0.57,0.17
533 (tie),Georgia State University,"Research University, For Sports Fans, State School",47300,86700,0.46,0.16
533 (tie),Thomas More College,"Private School, Religious",47200,86700,0.55,0.1
533 (tie),Weber State University,"For Sports Fans, State School",51600,86700,0.61,0.08
536 (tie),Texas A & M University-Corpus Christi,"Research University, For Sports Fans, State School",47300,86600,0.59,0.15
536 (tie),Texas State University,"Research University, For Sports Fans, State School",46900,86600,0.49,0.1
536 (tie),University of Colorado Colorado Springs,State School,48500,86600,0.53,0.19
536 (tie),University of South Florida-Main Campus,"Research University, For Sports Fans, State School",46400,86600,0.51,0.24
540 (tie),Purdue University-Calumet Campus,State School,48200,86500,0.57,0.14
540 (tie),Upstate Medical University,State School,53700,86500,0.81,0.05
540 (tie),Utah Valley University,"For Sports Fans, State School",47600,86500,0.54,0.1
543,Tuskegee University,Private School,50700,86400,0.66,0.34
544 (tie),College of Saint Benedict,"Liberal Arts School, Private School, Religious",46300,86300,0.5,0.19
544 (tie),Embry-Riddle Aeronautical University-Worldwide,Private School,55700,86300,0.71,0.01
544 (tie),Kean University,State School,45700,86300,0.51,0.1
544 (tie),Shippensburg University of Pennsylvania,State School,46200,86300,0.43,0.1
544 (tie),The University of Tampa,Private School,45600,86300,0.46,0.08
549 (tie),California State University-Channel Islands,State School,47700,86200,0.51,0.15
549 (tie),Emmanuel College,"Liberal Arts School, Private School, Religious",46700,86200,0.54,0.15
549 (tie),LeTourneau University,"Private School, Religious",55300,86200,0.6,0.24
549 (tie),Rowan University,"Research University, State School",48400,86200,0.43,0.18
549 (tie),Samford University,"Private School, Religious, For Sports Fans",45800,86200,0.51,0.03
554 (tie),University of Hawaii at Manoa,"Research University, For Sports Fans, State School",48600,86100,0.55,0.17
554 (tie),University of Toledo,"Research University, For Sports Fans, State School",49200,86100,0.53,0.19
554 (tie),Wayne State University,"Research University, State School",48000,86100,0.53,0.19
557 (tie),Florida Atlantic University,"Research University, For Sports Fans, State School",46500,86000,0.51,0.14
557 (tie),Humboldt State University,State School,44800,86000,0.53,0.18
557 (tie),University of Evansville,"Private School, Religious, For Sports Fans",48000,86000,0.59,0.15
557 (tie),University of Louisiana at Monroe,"Research University, For Sports Fans, State School",46800,86000,0.63,0.07
561 (tie),Old Dominion University,"Research University, For Sports Fans, State School",47200,85900,0.51,0.19
561 (tie),Our Lady of the Lake College,"Private School, Religious",49200,85900,N/A,0
561 (tie),"Westminster College - New Wilmington, PA","Liberal Arts School, Private School, Religious",44400,85900,0.52,0.16
561 (tie),Xavier University of Louisiana,"Private School, Religious, Sober School",44700,85900,0.64,0.35
565,Woodbury University,Private School,46400,85800,0.45,0
566 (tie),Augustana College,"Liberal Arts School, Private School, Religious",45000,85700,0.46,0.29
566 (tie),Boston Architectural College,Private School,48100,85700,0.57,0
566 (tie),Regis University,"Private School, Religious",53800,85700,0.58,0.15
566 (tie),Saint Edward's University,"Private School, Religious",45600,85700,0.5,0.08
570 (tie),Fitchburg State University,State School,45400,85600,0.46,0.11
570 (tie),Hampton University,"Private School, For Sports Fans",49500,85600,0.61,0.13
570 (tie),University of Houston-Victoria,State School,46900,85600,0.56,0.12
573 (tie),Centenary College of Louisiana,"Liberal Arts School, Private School, Religious",44900,85500,0.45,0.25
573 (tie),Centre College,"Liberal Arts School, Private School, Religious",46700,85500,0.57,0.27
573 (tie),Southern Illinois University-Carbondale,"Research University, For Sports Fans, State School",47300,85500,0.54,0.16
573 (tie),University of South Dakota,"Research University, For Sports Fans, State School",45600,85500,0.58,0.08
577 (tie),Juniata College,"Liberal Arts School, Private School",47600,85400,0.57,0.33
577 (tie),Minnesota State University-Mankato,State School,48500,85400,0.55,0.11
577 (tie),North Carolina A & T State University,"Research University, For Sports Fans, State School",49300,85400,0.6,0.27
577 (tie),University of New Hampshire at Manchester,"Liberal Arts School, State School",48800,85400,0.48,0.28
581 (tie),Loras College,"Private School, Religious",44500,85300,0.53,0.15
581 (tie),University of Houston-Downtown,State School,48200,85300,0.47,0.06
581 (tie),University of Maryland Eastern Shore,"Research University, For Sports Fans, State School",46100,85300,0.66,0.17
581 (tie),University of Mississippi,"Party School, Research University, For Sports Fans, State School",45700,85300,0.56,0.11
581 (tie),University of Washington-Tacoma Campus,State School,52900,85300,0.52,0.19
586 (tie),Cabrini University,"Private School, Religious",46000,85200,0.47,0.04
586 (tie),Doane University-Arts & Sciences,"Liberal Arts School, Private School",46500,85200,N/A,0.19
586 (tie),SUNY Polytechnic Institute,State School,48400,85200,0.51,0.3
589 (tie),Loyola University New Orleans,"Private School, Religious",44700,85100,0.51,0.04
589 (tie),Mills College,"Private School, Sober School",47300,85100,0.54,0.06
589 (tie),Salve Regina University,"Private School, Religious",49900,85100,0.54,0.06
592 (tie),Amberton University,"Private School, Religious",50000,85000,0.67,0
592 (tie),Mount Saint Mary College,"Private School, Religious, For Sports Fans",50400,85000,0.55,0.07
592 (tie),Neumann University,"Private School, Religious",48200,85000,0.5,0.04
592 (tie),New York School of Interior Design,"Art, Private School",47000,85000,N/A,0
592 (tie),Nichols College,"Business, Private School",47300,85000,0.42,0
592 (tie),SUNY at Purchase College,"Liberal Arts School, State School",45500,85000,0.37,0.06
592 (tie),University of North Florida,"For Sports Fans, State School",45600,85000,0.51,0.12
592 (tie),Vanguard University of Southern California,"Private School, Religious",45200,85000,0.57,0.03
600 (tie),Bowie State University,State School,47800,84900,0.65,0.14
600 (tie),Idaho State University,"Research University, For Sports Fans, State School",49100,84900,0.63,0.13
600 (tie),University of Central Florida,"Research University, For Sports Fans, State School",46400,84900,0.5,0.17
600 (tie),University of Wisconsin-Milwaukee,"Research University, For Sports Fans, State School",47700,84900,0.51,0.16
604 (tie),Hope College,"Liberal Arts School, Private School, Religious",46200,84800,0.56,0.23
604 (tie),Houston Baptist University,"Private School, Religious, For Sports Fans",46900,84800,0.63,0.08
604 (tie),Marymount University,"Private School, Religious",48700,84800,0.45,0.13
604 (tie),Messiah College,"Private School, Religious",47600,84800,0.55,0.12
604 (tie),Northern Arizona University,"Research University, For Sports Fans, State School",46700,84800,0.56,0.12
604 (tie),SUNY Oneonta,State School,44200,84800,0.39,0.12
604 (tie),Transylvania University,"Liberal Arts School, Private School, Religious",46000,84800,0.54,0.22
604 (tie),Western Governors University,Private School,51800,84800,0.56,0.1
612 (tie),CUNY John Jay College of Criminal Justice,State School,43100,84700,0.5,0.01
612 (tie),College for Creative Studies,"Art, Private School",48200,84700,0.42,0
612 (tie),University of Nebraska at Omaha,"Research University, For Sports Fans, State School",46600,84700,0.51,0.15
612 (tie),University of South Carolina-Columbia,"Research University, For Sports Fans, State School",46900,84700,0.52,0.19
612 (tie),Washington College,"Liberal Arts School, Private School",49900,84700,0.55,0.21
612 (tie),Whitworth University,"Private School, Religious",46800,84700,0.5,0.2
618 (tie),Stephen F Austin State University,"For Sports Fans, State School",44500,84600,0.56,0.05
618 (tie),University of Wisconsin-La Crosse,State School,46200,84600,0.53,0.19
620 (tie),Bloomfield College,"Liberal Arts School, Private School, Religious",45600,84500,0.56,0.13
620 (tie),California State University-Dominguez Hills,State School,46200,84500,0.57,0.05
620 (tie),Saint Martin's University,"Private School, Religious",49300,84500,0.56,0.22
620 (tie),Sam Houston State University,"Research University, For Sports Fans, State School",46700,84500,0.5,0.06
620 (tie),Saint Xavier University,"Private School, Religious",46500,84500,0.61,0.09
620 (tie),University of New Haven,Private School,49200,84500,0.56,0.23
620 (tie),University of Wisconsin-Stout,State School,48000,84500,0.47,0.13
627 (tie),California State University-San Bernardino,State School,45500,84400,0.55,0.09
627 (tie),Dunwoody College of Technology,Private School,47100,84400,N/A,0.19
627 (tie),Monmouth College,"Liberal Arts School, Private School, Religious",45600,84400,0.49,0.18
627 (tie),Roger Williams University,Private School,50000,84400,0.48,0.12
627 (tie),Saint Francis University,"Private School, Religious, For Sports Fans",44800,84400,0.54,0.09
627 (tie),University of Bridgeport,Private School,46800,84400,0.6,0.27
627 (tie),University of Nebraska Medical Center,State School,51900,84400,0.78,0.08
627 (tie),University of New Orleans,"Research University, For Sports Fans, State School",48000,84400,0.56,0.24
635 (tie),Oklahoma Christian University,"Private School, Religious",46700,84300,0.54,0.34
635 (tie),Portland State University,"Research University, For Sports Fans, State School",47500,84300,0.48,0.14
637,Beloit College,"Liberal Arts School, Private School",45300,84200,0.61,0.2
638 (tie),Augsburg College,"Private School, Religious",47400,84100,0.51,0.08
638 (tie),Berry College,Private School,42000,84100,0.48,0.22
638 (tie),Elmhurst College,"Private School, Religious",46900,84100,0.47,0.11
638 (tie),Gannon University,"Private School, Religious",48100,84100,0.65,0.25
638 (tie),Louisiana State University Health Sciences Center-New Orleans,State School,50800,84100,N/A,0.03
638 (tie),The Master's University and Seminary,"Private School, Religious",45100,84100,N/A,0.08
638 (tie),University of Saint Mary,"Private School, Religious",46000,84100,0.52,0.07
645 (tie),Earlham College,"Liberal Arts School, Private School, Religious",46000,84000,0.62,0.22
645 (tie),Newman University,"Private School, Religious",46500,84000,0.7,0.09
645 (tie),University of Missouri-Kansas City,"Research University, For Sports Fans, State School",48100,84000,0.53,0.24
645 (tie),University of Northern Colorado,"Research University, For Sports Fans, State School",45000,84000,0.51,0.07
649 (tie),Eastern Illinois University,"For Sports Fans, State School",43800,83900,0.48,0.06
649 (tie),Hastings College,"Private School, Religious",45100,83900,0.57,0.22
649 (tie),Pacific Union College,"Liberal Arts School, Private School, Religious",52200,83900,0.51,0.1
649 (tie),University of New England,Private School,48000,83900,0.73,0.09
649 (tie),University of Wisconsin-Whitewater,State School,46100,83900,0.44,0.07
654 (tie),Barnes-Jewish College Goldfarb School of Nursing,Private School,52800,83800,0.79,0
654 (tie),Cedarville University,"Private School, Religious",48600,83800,0.6,0.17
654 (tie),Harding University,"Private School, Religious",46100,83800,0.47,0.11
654 (tie),Randolph College,"Liberal Arts School, Private School, Religious",43500,83800,0.48,0.18
654 (tie),Texas A & M University-Kingsville,"Engineering, Research University, State School",49900,83800,0.63,0.55
659 (tie),Bowling Green State University-Main Campus,"Research University, For Sports Fans, State School",44500,83700,0.46,0.11
659 (tie),Curry College,Private School,47000,83700,0.56,0.02
659 (tie),Roosevelt University,Private School,45000,83700,0.47,0.1
662 (tie),Alaska Pacific University,"Private School, Religious",48800,83600,N/A,0.07
662 (tie),The University of Montana,"Research University, For Sports Fans, State School",43500,83600,0.53,0.09
664 (tie),Clarkson College,"Private School, Religious",49400,83500,0.71,0
664 (tie),Southern Illinois University-Edwardsville,"For Sports Fans, State School",48100,83500,0.52,0.22
666 (tie),Augustana University,"Private School, Religious",44800,83400,0.54,0.15
666 (tie),Cleveland Institute of Art,"Art, Private School",44000,83400,0.34,0
666 (tie),Massachusetts College of Art and Design,"Art, State School",46500,83400,0.4,0
666 (tie),Robert Morris University,"Private School, Research University, For Sports Fans",47400,83400,0.4,0.2
666 (tie),Saint John Fisher College,"Private School, Religious, Research University",44000,83400,0.46,0.09
666 (tie),University of La Verne,"Private School, Research University",47200,83400,0.56,0.04
672 (tie),Nebraska Methodist College of Nursing & Allied Health,"Private School, Religious",50600,83300,N/A,0
672 (tie),Southwestern Oklahoma State University,State School,44600,83300,0.58,0.06
672 (tie),Thomas Aquinas College,"Liberal Arts School, Private School, Religious, Sober School",46200,83300,N/A,0
675 (tie),Lipscomb University,"Private School, Religious, Research University, For Sports Fans",46000,83200,0.63,0.1
675 (tie),Rollins College,Private School,45700,83200,0.5,0.11
675 (tie),Stetson University,"Private School, For Sports Fans",44100,83200,0.45,0.07
675 (tie),Truman State University,State School,45000,83200,0.53,0.14
679 (tie),Bethany College,"Liberal Arts School, Private School, Religious",44500,83100,N/A,0.14
679 (tie),Central College,"Liberal Arts School, Private School, Religious",46200,83100,0.63,0.33
