Rank,School Name,School Sector,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
410 (tie),River Valley Community College,Public,43300,60400,N/A,0.03
410 (tie),Thomas Nelson Community College,Public,36200,60400,0.69,0.05
410 (tie),University of South Florida-Main Campus,Public,37500,60400,N/A,0.24
410 (tie),Virginia Western Community College,Public,39500,60400,0.7,0.06
420 (tie),Allegany College of Maryland,Public,43000,60300,0.51,0
420 (tie),Clover Park Technical College,Public,39100,60300,0.58,0.11
420 (tie),Florida State University,Public,38500,60300,0.48,0.18
420 (tie),Iowa Central Community College,Public,38800,60300,0.63,0.03
420 (tie),Lincoln Land Community College,Public,37700,60300,0.67,0.01
420 (tie),Oklahoma State University-Oklahoma City,Public,36800,60300,0.68,0.04
420 (tie),Piedmont Virginia Community College,Public,42700,60300,0.71,0.04
427 (tie),Central Texas College,Public,40000,60200,0.64,0.05
427 (tie),Honolulu Community College,Public,38800,60200,0.39,0.09
427 (tie),Newbury College,Private not-for-profit,42400,60200,0.48,0.03
427 (tie),Rogers State University,Public,39000,60200,N/A,0.08
427 (tie),San Diego Mesa College,Public,39300,60200,0.55,0.1
427 (tie),South Puget Sound Community College,Public,38200,60200,0.52,0.09
427 (tie),Southern New Hampshire University,Private not-for-profit,40100,60200,0.65,0.08
427 (tie),St. Thomas Aquinas College,Private not-for-profit,40100,60200,N/A,0.09
427 (tie),Ulster County Community College,Public,37600,60200,N/A,0.06
436 (tie),Angelina College,Public,39800,60100,0.57,0.01
436 (tie),Florence-Darlington Technical College,Public,38600,60100,0.63,0.04
436 (tie),"Glendale Community College - Glendale, AZ",Public,38100,60100,0.6,0.04
436 (tie),Minnesota State College Southeast,Public,41100,60100,0.63,0.03
436 (tie),Polk State College,Public,40600,60100,0.55,0.01
436 (tie),Santa Ana College,Public,41700,60100,0.54,0.03
436 (tie),St Clair County Community College,Public,38200,60100,0.53,0.02
436 (tie),Tunxis Community College,Public,39500,60100,0.49,0.02
436 (tie),University of Alaska Southeast,Public,40200,60100,N/A,0.03
445 (tie),Anoka Technical College,Public,42600,60000,0.59,0
445 (tie),Columbia College,Private not-for-profit,37100,60000,0.62,0.02
445 (tie),Hillsborough Community College,Public,38800,60000,0.58,0.03
445 (tie),Northampton County Area Community College,Public,37400,60000,0.62,0.1
445 (tie),Red Rocks Community College,Public,40000,60000,0.64,0.02
445 (tie),Rochester Institute of Technology,Private not-for-profit,40300,60000,0.44,0.47
445 (tie),Whatcom Community College,Public,41000,60000,0.55,0.05
452 (tie),Cuyamaca College,Public,38800,59900,0.48,0.07
452 (tie),Fairmont State University,Public,39200,59900,0.63,0.05
452 (tie),Georgia State University-Perimeter College,Public,38000,59900,0.5,0
452 (tie),Texarkana College,Public,39600,59900,0.53,0.04
452 (tie),Truckee Meadows Community College,Public,38000,59900,0.59,0.02
457 (tie),Aiken Technical College,Public,41100,59800,0.69,0.09
457 (tie),Alexandria Technical & Community College,Public,38200,59800,0.5,0.02
457 (tie),Kapiolani Community College,Public,39600,59800,0.85,0.03
457 (tie),Merced College,Public,39200,59800,0.54,0.05
457 (tie),Miami University-Oxford,Public,42800,59800,0.55,0.18
457 (tie),Temple College,Public,39700,59800,0.55,0.06
457 (tie),Washburn University,Public,41200,59800,N/A,0.04
464 (tie),Blue Mountain Community College,Public,37500,59700,0.82,0.02
464 (tie),Boise State University,Public,42600,59700,0.55,0.12
464 (tie),Dutchess Community College,Public,40800,59700,0.6,0.05
464 (tie),Troy University,Public,38000,59700,0.71,0.08
464 (tie),Wesley College,Private not-for-profit,40500,59700,N/A,0.05
469 (tie),Centenary University,Private not-for-profit,42500,59600,N/A,0.01
469 (tie),Central Oregon Community College,Public,40600,59600,0.69,0.02
469 (tie),Essex County College,Public,40100,59600,0.69,0.09
469 (tie),Joliet Junior College,Public,40000,59600,0.53,0.03
469 (tie),Florida Gateway College,Public,41700,59600,N/A,0.02
469 (tie),Lake Superior College,Public,40700,59600,0.73,0.01
475 (tie),John Tyler Community College,Public,42000,59500,0.67,0.03
475 (tie),Northern Maine Community College,Public,39900,59500,N/A,0.04
475 (tie),Peirce College,Private not-for-profit,41100,59500,0.62,0.13
475 (tie),Rosedale Technical College,Private not-for-profit,39400,59500,N/A,0
479 (tie),Metropolitan Community College-Kansas City,Public,37700,59400,0.62,0.03
479 (tie),Richland College,Public,38100,59400,0.52,0.07
479 (tie),Victoria College,Public,43100,59400,0.67,0.01
482 (tie),Butte College,Public,40300,59300,0.65,0.04
482 (tie),SUNY College of Technology at Canton,Public,39500,59300,0.67,0.03
482 (tie),San Diego City College,Public,43000,59300,0.63,0.06
482 (tie),Tacoma Community College,Public,41500,59300,0.59,0.13
482 (tie),Waukesha County Technical College,Public,39700,59300,0.48,0.06
482 (tie),Yavapai College,Public,39000,59300,0.5,0.04
488 (tie),Lee College,Public,43800,59200,0.58,0.03
488 (tie),Pearl River Community College,Public,40100,59200,0.78,0.01
488 (tie),Pima Community College,Public,39100,59200,0.59,0.02
488 (tie),Utah State University,Public,35500,59200,0.6,0.14
492 (tie),Century College,Public,41000,59100,0.53,0.05
492 (tie),College of the Redwoods,Public,39600,59100,0.63,0.01
492 (tie),Mount Ida College,Private not-for-profit,42600,59100,0.65,0.02
492 (tie),Rose State College,Public,39600,59100,0.7,0.08
492 (tie),Spokane Community College,Public,40900,59100,0.6,0.09
492 (tie),University of Toledo,Public,42300,59100,0.53,0.19
498 (tie),Rowan College at Burlington County,Public,42000,59000,0.52,0
498 (tie),College of Lake County,Public,40800,59000,0.59,0.02
498 (tie),Granite State College,Public,38300,59000,N/A,0.02
498 (tie),Lakeland Community College,Public,41000,59000,0.64,0.18
498 (tie),San Antonio College,Public,41000,59000,0.63,0.15
503 (tie),Clackamas Community College,Public,38000,58900,0.5,0.04
503 (tie),Colby Community College,Public,40200,58900,0.69,0.02
503 (tie),Midland College,Public,43900,58900,0.58,0.03
503 (tie),Mountain View College,Public,36500,58900,0.53,0.05
503 (tie),Pennsylvania State University-Penn State DuBois,Public,40100,58900,N/A,0.28
503 (tie),State College of Florida-Manatee-Sarasota,Public,40100,58900,0.62,0.06
509 (tie),Aims Community College,Public,38600,58800,0.56,0.02
509 (tie),Berkeley City College,Public,41000,58800,N/A,0.05
509 (tie),CUNY Hostos Community College,Public,41000,58800,N/A,0.06
509 (tie),Camden County College,Public,37400,58800,0.59,0.02
509 (tie),Champlain College,Private not-for-profit,42600,58800,0.59,0.17
509 (tie),Ferris State University,Public,41900,58800,0.7,0.08
509 (tie),Minnesota State Community and Technical College,Public,39200,58800,0.57,0.05
509 (tie),Pennsylvania State University-Penn State Erie-Behrend College,Public,41100,58800,N/A,0.28
509 (tie),Pueblo Community College,Public,42700,58800,0.69,0.11
509 (tie),Western Kentucky University,Public,40300,58800,0.68,0.1
519 (tie),Bemidji State University,Public,39800,58700,N/A,0.09
519 (tie),Bucks County Community College,Public,39900,58700,0.53,0.07
519 (tie),Eastern Maine Community College,Public,37500,58700,0.6,0.09
519 (tie),Lakes Region Community College,Public,38800,58700,N/A,0.01
519 (tie),McLennan Community College,Public,38700,58700,0.65,0.03
519 (tie),Minneapolis Community and Technical College,Public,40500,58700,0.6,0.11
519 (tie),Mitchell College,Private not-for-profit,39400,58700,N/A,0
519 (tie),Mount Wachusett Community College,Public,42200,58700,0.59,0.08
519 (tie),Navarro College,Public,41100,58700,0.68,0.01
519 (tie),North Central Missouri College,Public,39900,58700,N/A,0
519 (tie),Oklahoma City Community College,Public,40100,58700,0.63,0.1
519 (tie),Rock Valley College,Public,37200,58700,0.57,0.03
519 (tie),St Petersburg College,Public,37900,58700,0.61,0.09
519 (tie),Texas Southmost College,Public,41200,58700,0.7,0.04
519 (tie),Wake Technical Community College,Public,39100,58700,0.56,0.08
519 (tie),Waubonsee Community College,Public,40600,58700,0.55,0.03
535 (tie),Central Ohio Technical College,Public,39700,58600,0.65,0.07
535 (tie),Central Wyoming College,Public,39700,58600,N/A,0.05
535 (tie),Chaffey College,Public,37700,58600,0.54,0.09
535 (tie),Des Moines Area Community College,Public,37500,58600,0.55,0.03
535 (tie),Greenfield Community College,Public,41200,58600,0.69,0.06
535 (tie),Mt San Jacinto Community College District,Public,37500,58600,0.57,0.04
535 (tie),North Lake College,Public,39300,58600,0.48,0.09
535 (tie),Pennsylvania College of Technology,Public,40000,58600,0.54,0.04
535 (tie),Pikes Peak Community College,Public,35700,58600,0.58,0.03
535 (tie),Richard Bland College of William and Mary,Public,38900,58600,N/A,0.97
535 (tie),Southeast Technical Institute,Public,39100,58600,0.53,0.1
546 (tie),Georgia Highlands College,Public,40100,58500,0.76,0
546 (tie),Northwood University,Private not-for-profit,40200,58500,N/A,0.01
546 (tie),Sierra College,Public,38200,58500,0.63,0.08
546 (tie),South Central College,Public,39300,58500,0.56,0.06
550 (tie),California University of Pennsylvania,Public,39200,58400,N/A,0.06
550 (tie),Hibbing Community College,Public,41900,58400,0.67,0.02
550 (tie),State Technical College of Missouri,Public,38100,58400,0.53,0.04
550 (tie),Macomb Community College,Public,38900,58400,0.52,0.04
550 (tie),Montana State University,Public,40500,58400,N/A,0.28
550 (tie),Monterey Peninsula College,Public,41000,58400,N/A,0.15
550 (tie),Mt Hood Community College,Public,40200,58400,0.55,0.09
550 (tie),Oakland Community College,Public,38400,58400,0.54,0.04
550 (tie),Oxnard College,Public,39500,58400,N/A,0.04
550 (tie),Paris Junior College,Public,37400,58400,0.43,0.05
560 (tie),Lamar State College-Port Arthur,Public,44300,58300,N/A,0.02
560 (tie),Mitchell Technical Institute,Public,39200,58300,0.6,0.02
560 (tie),Mohawk Valley Community College,Public,37700,58300,0.54,0.06
560 (tie),Nashville State Community College,Public,37900,58300,0.61,0.03
560 (tie),Pensacola State College,Public,39400,58300,0.65,0.03
560 (tie),Riverland Community College,Public,38300,58300,0.49,0.03
560 (tie),SUNY College of Technology at Delhi,Public,38500,58300,0.62,0.01
560 (tie),Southwest Mississippi Community College,Public,38000,58300,N/A,0.02
560 (tie),Valencia College,Public,36200,58300,0.49,0.07
560 (tie),Washtenaw Community College,Public,37700,58300,0.57,0.05
560 (tie),Yakima Valley College,Public,40000,58300,0.68,0.05
571 (tie),Arkansas State University-Main Campus,Public,38400,58200,0.6,0.05
571 (tie),Eastern Florida State College,Public,35100,58200,0.5,0.04
571 (tie),Community College of Aurora,Public,38600,58200,0.64,0.05
571 (tie),Fort Hays State University,Public,37500,58200,N/A,0.06
571 (tie),Frank Phillips College,Public,38700,58200,N/A,0.02
571 (tie),Madison Area Technical College,Public,40000,58200,0.53,0.06
571 (tie),Minnesota West Community and Technical College,Public,37700,58200,0.62,0.02
571 (tie),Olympic College,Public,40400,58200,0.57,0.02
571 (tie),Pennsylvania State University-Penn State Shenango,Public,40500,58200,N/A,0.02
571 (tie),Scottsdale Community College,Public,40800,58200,0.61,0.05
581 (tie),Cuesta College,Public,39700,58100,0.46,0.05
581 (tie),Cumberland County College,Public,39500,58100,0.69,0.13
581 (tie),Greenville Technical College,Public,41800,58100,0.56,0.04
581 (tie),James A Rhodes State College,Public,41500,58100,0.62,0.07
581 (tie),Montana Tech of the University of Montana,Public,40500,58100,N/A,0.62
581 (tie),Neosho County Community College,Public,41800,58100,N/A,0
581 (tie),Saint Louis Community College,Public,37000,58100,0.64,0.03
588 (tie),Cosumnes River College,Public,36300,58000,0.59,0.1
588 (tie),Howard College,Public,37900,58000,N/A,0.07
588 (tie),MacCormac College,Private not-for-profit,39400,58000,N/A,0
588 (tie),Montgomery County Community College,Public,39600,58000,0.5,0.07
588 (tie),Schoolcraft College,Public,39300,58000,0.49,0.06
588 (tie),Western Texas College,Public,37100,58000,N/A,0.18
594 (tie),Abraham Baldwin Agricultural College,Public,38000,57900,0.73,0.03
594 (tie),Crafton Hills College,Public,37000,57900,N/A,0.05
594 (tie),Eastfield College,Public,36800,57900,0.57,0.01
594 (tie),Maria College of Albany,Private not-for-profit,42900,57900,0.76,0
594 (tie),Southern Maine Community College,Public,38700,57900,0.59,0.09
599 (tie),Caldwell Community College and Technical Institute,Public,37200,57800,0.67,0.02
599 (tie),Finger Lakes Community College,Public,36200,57800,0.57,0.04
599 (tie),Florida College,Private not-for-profit,38300,57800,N/A,0
599 (tie),Sussex County Community College,Public,36800,57800,N/A,0.01
599 (tie),Western Nevada College,Public,40100,57800,N/A,0.1
604 (tie),Catawba Valley Community College,Public,36100,57700,0.67,0.03
604 (tie),Columbus State University,Public,39000,57700,N/A,0.08
604 (tie),Gadsden State Community College,Public,35400,57700,0.64,0.01
604 (tie),Monroe County Community College,Public,39000,57700,0.49,0.05
604 (tie),Onondaga Community College,Public,35600,57700,0.59,0.06
604 (tie),Otero Junior College,Public,39700,57700,N/A,0
604 (tie),George C Wallace State Community College-Selma,Public,38300,57700,N/A,0.02
604 (tie),Western Iowa Tech Community College,Public,37400,57700,0.51,0.06
612 (tie),Central Piedmont Community College,Public,37900,57600,0.52,0.11
612 (tie),Clark State Community College,Public,38400,57600,0.6,0.03
612 (tie),Columbus State Community College,Public,38900,57600,0.57,0.03
612 (tie),Delgado Community College,Public,39100,57600,0.63,0.02
612 (tie),Eastern New Mexico University-Main Campus,Public,38600,57600,N/A,0.05
612 (tie),Lorain County Community College,Public,40500,57600,0.61,0.04
612 (tie),Lower Columbia College,Public,40900,57600,0.55,0.06
619 (tie),Concordia University-Wisconsin,Private not-for-profit,39800,57500,N/A,0.07
619 (tie),Dabney S Lancaster Community College,Public,36100,57500,N/A,0.03
619 (tie),Durham Technical Community College,Public,39400,57500,0.6,0.06
619 (tie),Eastern University,Private not-for-profit,36700,57500,N/A,0.02
619 (tie),Goldey-Beacom College,Private not-for-profit,39800,57500,N/A,0.33
619 (tie),Kellogg Community College,Public,40100,57500,0.58,0
619 (tie),Lane Community College,Public,39200,57500,0.62,0.08
619 (tie),Lewis and Clark Community College,Public,39700,57500,0.66,0.05
619 (tie),Panola College,Public,39700,57500,N/A,0.03
628 (tie),Chattanooga State Community College,Public,38100,57400,0.63,0.06
628 (tie),Clatsop Community College,Public,38700,57400,N/A,0
628 (tie),Jefferson Community and Technical College,Public,39300,57400,0.45,0.09
628 (tie),Southwest Wisconsin Technical College,Public,40100,57400,0.65,0.03
628 (tie),Southwestern College,Public,37900,57400,0.7,0.04
633 (tie),Bristol Community College,Public,39400,57300,0.54,0.04
633 (tie),Endicott College,Private not-for-profit,40100,57300,0.73,0.03
633 (tie),Housatonic Community College,Public,39100,57300,0.55,0.02
633 (tie),Mid-State Technical College,Public,38600,57300,0.55,0.05
633 (tie),Murray State College,Public,39400,57300,N/A,0.02
633 (tie),St Philip's College,Public,40400,57300,0.72,0.03
633 (tie),Sullivan County Community College,Public,41200,57300,N/A,0.05
633 (tie),Vincennes University,Public,38200,57300,0.56,0.02
641 (tie),Allan Hancock College,Public,36900,57200,0.57,0.06
641 (tie),Chandler-Gilbert Community College,Public,38300,57200,0.51,0.1
641 (tie),Corning Community College,Public,36200,57200,0.55,0.05
641 (tie),Georgia Piedmont Technical College,Public,36300,57200,0.62,0.09
641 (tie),Eastern Iowa Community College District,Public,38000,57200,N/A,0.03
641 (tie),Grand Rapids Community College,Public,37800,57200,0.56,0.04
641 (tie),Harrisburg Area Community College-Harrisburg,Public,40400,57200,0.5,0.06
641 (tie),Hennepin Technical College,Public,41700,57200,0.5,0.06
641 (tie),Indiana University-South Bend,Public,38000,57200,N/A,0.09
641 (tie),Jamestown Community College,Public,36500,57200,0.66,0.03
641 (tie),Richland Community College,Public,38200,57200,0.61,0.05
641 (tie),Seminole State College of Florida,Public,35300,57200,0.54,0.16
641 (tie),Williston State College,Public,41000,57200,N/A,0.01
654 (tie),Gwinnett Technical College,Public,40300,57100,0.49,0.13
654 (tie),Imperial Valley College,Public,38000,57100,N/A,0.04
654 (tie),Mendocino College,Public,38900,57100,N/A,0.04
654 (tie),Milwaukee Area Technical College,Public,40500,57100,0.57,0.05
654 (tie),Mott Community College,Public,39700,57100,0.59,0.11
654 (tie),University of North Georgia,Public,37900,57100,0.48,0.09
654 (tie),Northeastern Oklahoma A&M College,Public,39200,57100,N/A,0.07
654 (tie),Redlands Community College,Public,39000,57100,N/A,0
654 (tie),Saint Leo University,Private not-for-profit,38800,57100,0.51,0.05
654 (tie),Southeast Community College Area,Public,38700,57100,0.59,0.04
654 (tie),University of Arkansas-Fort Smith,Public,39100,57100,0.71,0.08
665 (tie),Barton County Community College,Public,36900,57000,0.62,0.01
665 (tie),Becker College,Private not-for-profit,41800,57000,0.62,0.01
665 (tie),CUNY Bronx Community College,Public,38300,57000,0.56,0.07
665 (tie),Columbia-Greene Community College,Public,40900,57000,N/A,0.02
665 (tie),Dodge City Community College,Public,40800,57000,N/A,0.1
665 (tie),Florida SouthWestern State College,Public,39500,57000,0.62,0.01
665 (tie),Lord Fairfax Community College,Public,38300,57000,0.62,0.06
665 (tie),Missouri Western State University,Public,39800,57000,N/A,0.12
665 (tie),Great Falls College Montana State University,Public,39000,57000,N/A,0.03
665 (tie),Peninsula College,Public,38100,57000,N/A,0.1
665 (tie),Santiago Canyon College,Public,36900,57000,N/A,0.04
665 (tie),George C Wallace State Community College-Hanceville,Public,39700,57000,0.64,0.02
677 (tie),Atlantic Cape Community College,Public,36800,56900,0.54,0.04
677 (tie),Jefferson College,Public,37800,56900,N/A,0.04
677 (tie),Kalamazoo Valley Community College,Public,38200,56900,0.5,0.07
677 (tie),Lake Area Technical Institute,Public,37900,56900,0.62,0.01
677 (tie),Marion Technical College,Public,40900,56900,0.58,0.07
677 (tie),North Country Community College,Public,39200,56900,N/A,0.02
677 (tie),Southwest Tennessee Community College,Public,37900,56900,0.58,0.04
677 (tie),George C Wallace Community College-Dothan,Public,37600,56900,0.72,0.01
685 (tie),Blinn College,Public,38700,56800,0.55,0.12
685 (tie),Clarion University of Pennsylvania,Public,38000,56800,N/A,0.08
685 (tie),Columbia State Community College,Public,38300,56800,0.6,0.02
685 (tie),Gannon University,Private not-for-profit,40400,56800,N/A,0.25
689 (tie),Asheville-Buncombe Technical Community College,Public,37300,56700,0.63,0.07
689 (tie),California College San Diego,Private not-for-profit,38700,56700,N/A,0.2
689 (tie),El Paso Community College,Public,36800,56700,0.59,0.07
689 (tie),Kent State University at Tuscarawas,Public,36900,56700,N/A,0.03
689 (tie),Laredo Community College,Public,38000,56700,N/A,0.03
689 (tie),Rochester Community and Technical College,Public,39700,56700,0.6,0.02
689 (tie),The Sage Colleges,Private not-for-profit,39200,56700,N/A,0.09
689 (tie),South Florida State College,Public,37400,56700,N/A,0.02
689 (tie),Southeastern Illinois College,Public,36600,56700,N/A,0.04
689 (tie),University of Central Oklahoma,Public,37500,56700,N/A,0.07
689 (tie),University of Cincinnati-Clermont College,Public,38500,56700,0.43,0.06
700 (tie),City Colleges of Chicago-Wilbur Wright College,Public,37700,56600,0.54,0.04
700 (tie),Indian River State College,Public,38600,56600,0.58,0.03
700 (tie),Kaskaskia College,Public,38100,56600,0.58,0.03
700 (tie),Liberty University,Private not-for-profit,36900,56600,0.65,0.01
700 (tie),Midlands Technical College,Public,38500,56600,0.66,0.05
700 (tie),Morrisville State College,Public,38700,56600,0.59,0.05
700 (tie),Pellissippi State Community College,Public,35600,56600,0.53,0.06
700 (tie),Pratt Community College,Public,41300,56600,N/A,0
700 (tie),Sinclair Community College,Public,39400,56600,0.59,0.08
700 (tie),University of New Mexico-Main Campus,Public,35900,56600,0.72,0.19
710 (tie),Coastal Bend College,Public,39900,56500,N/A,0.03
710 (tie),Hocking College,Public,39000,56500,0.59,0.02
710 (tie),J Sargeant Reynolds Community College,Public,40000,56500,0.52,0.05
710 (tie),Jackson College,Public,39400,56500,0.59,0.08
710 (tie),Jefferson Community College,Public,37300,56500,0.53,0.02
710 (tie),John C Calhoun State Community College,Public,36800,56500,0.68,0.04
710 (tie),Northcentral Technical College,Public,39900,56500,0.53,0.08
710 (tie),Southern Vermont College,Private not-for-profit,39300,56500,N/A,0.11
710 (tie),University of Maine at Augusta,Public,38900,56500,0.81,0.07
710 (tie),Warren County Community College,Public,36700,56500,N/A,0.06
720 (tie),Darton State College,Public,44100,56400,0.81,0
720 (tie),East Arkansas Community College,Public,37600,56400,N/A,0
720 (tie),Grays Harbor College,Public,37200,56400,N/A,0.03
720 (tie),Johnson College,Private not-for-profit,35500,56400,0.54,0.09
720 (tie),Kankakee Community College,Public,40400,56400,0.63,0.02
720 (tie),Kilgore College,Public,39800,56400,0.63,0.03
720 (tie),Marshall University,Public,39800,56400,0.62,0.09
720 (tie),Monroe Community College,Public,37200,56400,0.62,0.05
720 (tie),Patrick Henry Community College,Public,35500,56400,N/A,0.01
720 (tie),Schenectady County Community College,Public,35100,56400,0.48,0.05
730 (tie),Cisco College,Public,38100,56300,N/A,0
730 (tie),Clinton Community College,Public,36700,56300,0.56,0.03
730 (tie),Limestone College,Private not-for-profit,36300,56300,N/A,0.11
730 (tie),Muskegon Community College,Public,39200,56300,0.46,0.01
730 (tie),Helena College University of Montana,Public,38900,56300,N/A,0.12
735 (tie),Cameron University,Public,35600,56200,N/A,0.13
735 (tie),Connors State College,Public,38600,56200,N/A,0.04
735 (tie),East Central College,Public,36300,56200,0.56,0.04
735 (tie),Lewis-Clark State College,Public,38600,56200,N/A,0.07
735 (tie),Northern Oklahoma College,Public,38600,56200,0.65,0.06
735 (tie),Piedmont Community College,Public,38400,56200,N/A,0.05
735 (tie),Rogue Community College,Public,37900,56200,0.52,0.01
735 (tie),South Plains College,Public,37400,56200,0.73,0.04
735 (tie),St Charles Community College,Public,36900,56200,0.53,0.06
735 (tie),Trident Technical College,Public,38400,56200,0.66,0.09
735 (tie),Tulsa Community College,Public,38100,56200,0.63,0.16
735 (tie),University of Akron Main Campus,Public,36300,56200,0.51,0.19
735 (tie),The University of Montana,Public,38400,56200,0.51,0.09
748 (tie),Chippewa Valley Technical College,Public,40800,56100,0.61,0.13
748 (tie),Lake Michigan College,Public,38600,56100,0.65,0.07
748 (tie),Ridgewater College,Public,38500,56100,0.68,0.02
748 (tie),University of Arkansas for Medical Sciences,Public,38100,56100,N/A,0.04
752 (tie),Bay Path University,Private not-for-profit,40800,56000,N/A,0.03
752 (tie),Carroll Community College,Public,39300,56000,0.61,0.03
752 (tie),Gulf Coast State College,Public,38800,56000,0.6,0.05
752 (tie),Capital Area Technical College,Public,37100,56000,N/A,0
752 (tie),Niagara County Community College,Public,36600,56000,0.53,0.05
752 (tie),Northland Community and Technical College,Public,38600,56000,0.65,0.01
752 (tie),Owens Community College,Public,38600,56000,0.56,0.03
752 (tie),Paradise Valley Community College,Public,37600,56000,N/A,0.07
752 (tie),"Southeastern Community College - Whiteville, NC",Public,37500,56000,0.66,0.08
761 (tie),Cerro Coso Community College,Public,39100,55900,N/A,0.07
761 (tie),College of the Siskiyous,Public,41200,55900,N/A,0.04
761 (tie),Gateway Community College,Public,39700,55900,0.6,0.06
761 (tie),"Highland Community College - Highland, KS",Public,34800,55900,N/A,0.01
761 (tie),Labette Community College,Public,40100,55900,0.7,0
761 (tie),NorthWest Arkansas Community College,Public,36700,55900,0.49,0.02
761 (tie),Northeast Wisconsin Technical College,Public,39000,55900,0.45,0.04
761 (tie),Pasco-Hernando State College,Public,39200,55900,0.62,0.04
769 (tie),SUNY Broome Community College,Public,38700,55800,0.64,0.06
769 (tie),College of Coastal Georgia,Public,37900,55800,0.66,0.04
769 (tie),Florida State College at Jacksonville,Public,36900,55800,0.53,0.05
769 (tie),Holyoke Community College,Public,37300,55800,0.54,0.06
769 (tie),Itasca Community College,Public,37800,55800,N/A,0.16
769 (tie),Itawamba Community College,Public,35200,55800,0.7,0.08
769 (tie),Mississippi Gulf Coast Community College,Public,36600,55800,0.71,0.1
769 (tie),South Louisiana Community College,Public,35900,55800,0.65,0.06
769 (tie),Southern West Virginia Community and Technical College,Public,37700,55800,N/A,0.06
769 (tie),Wilmington University,Private not-for-profit,38100,55800,N/A,0.04
779 (tie),Bluefield State College,Public,39700,55700,0.57,0.02
779 (tie),Eastern Kentucky University,Public,41000,55700,0.68,0.05
779 (tie),Olney Central College,Public,36400,55700,N/A,0.01
779 (tie),Iowa Western Community College,Public,37600,55700,0.51,0.02
779 (tie),Miles Community College,Public,37900,55700,N/A,0.03
779 (tie),Northeast Iowa Community College,Public,39400,55700,0.56,0.02
779 (tie),Northeast Texas Community College,Public,37100,55700,N/A,0.01
779 (tie),Northwest-Shoals Community College,Public,38200,55700,0.55,0.02
779 (tie),Sampson Community College,Public,37200,55700,N/A,0.11
779 (tie),Seward County Community College,Public,36100,55700,N/A,0.02
789 (tie),Baker University,Private not-for-profit,38100,55600,N/A,0.02
789 (tie),Eastern Gateway Community College,Public,37000,55600,N/A,0.04
789 (tie),Harcum College,Private not-for-profit,46100,55600,0.75,0
789 (tie),Indiana Wesleyan University-Marion,Private not-for-profit,39100,55600,0.52,0.06
789 (tie),Johnson & Wales University-Providence,Private not-for-profit,36600,55600,0.45,0.04
789 (tie),Quinebaug Valley Community College,Public,37700,55600,N/A,0.08
795 (tie),Bay de Noc Community College,Public,35200,55500,0.71,0.02
795 (tie),Gupton Jones College of Funeral Service,Private not-for-profit,35400,55500,N/A,0
795 (tie),Hagerstown Community College,Public,40500,55500,0.62,0.05
795 (tie),Husson University,Private not-for-profit,37700,55500,N/A,0.02
795 (tie),Jefferson Davis Community College,Public,40600,55500,N/A,0
795 (tie),Minnesota State University Moorhead,Public,38400,55500,N/A,0.07
795 (tie),Nash Community College,Public,39200,55500,N/A,0.04
795 (tie),Shasta College,Public,35800,55500,0.66,0.04
795 (tie),University of Rio Grande,Private not-for-profit,40900,55500,0.7,0.06
804 (tie),Central Lakes College-Brainerd,Public,37100,55400,0.62,0.01
804 (tie),Cleary University,Private not-for-profit,38800,55400,N/A,0.02
804 (tie),Lehigh Carbon Community College,Public,39500,55400,0.57,0.07
804 (tie),North Idaho College,Public,36700,55400,0.59,0.04
804 (tie),Reinhardt University,Private not-for-profit,36600,55400,N/A,0.04
804 (tie),Three Rivers College,Public,35600,55400,0.7,0.01
804 (tie),Valdosta State University,Public,38000,55400,N/A,0.07
804 (tie),Walters State Community College,Public,37900,55400,0.67,0.01
812 (tie),Central Arizona College,Public,38000,55300,N/A,0.02
812 (tie),Colorado Mountain College,Public,39000,55300,0.52,0.02
812 (tie),Forsyth Technical Community College,Public,38400,55300,0.6,0.04
812 (tie),Gateway Technical College,Public,39000,55300,0.63,0.05
812 (tie),Germanna Community College,Public,41000,55300,0.76,0.04
812 (tie),Umpqua Community College,Public,36800,55300,N/A,0
818 (tie),Berkshire Community College,Public,41400,55200,N/A,0.05
818 (tie),Hudson County Community College,Public,36000,55200,0.42,0.08
818 (tie),James Sprunt Community College,Public,36500,55200,N/A,0.17
818 (tie),Louisiana College,Private not-for-profit,38600,55200,N/A,0.04
818 (tie),Roxbury Community College,Public,40400,55200,N/A,0.11
818 (tie),University of Hawaii Maui College,Public,38700,55200,N/A,0
824 (tie),Blackhawk Technical College,Public,39400,55100,0.65,0.04
824 (tie),Chattahoochee Valley Community College,Public,36500,55100,N/A,0.05
824 (tie),City Colleges of Chicago-Malcolm X College,Public,40300,55100,0.73,0
824 (tie),Dakota State University,Public,37600,55100,N/A,0.53
824 (tie),Leeward Community College,Public,34900,55100,N/A,0.06
824 (tie),National Park College,Public,35800,55100,N/A,0.03
824 (tie),New Mexico State University-Dona Ana,Public,35700,55100,0.67,0.06
824 (tie),North Central State College,Public,38200,55100,0.64,0.08
824 (tie),Ohio University-Southern Campus,Public,37400,55100,N/A,0
824 (tie),Pitt Community College,Public,36900,55100,0.72,0.07
824 (tie),West Shore Community College,Public,35700,55100,N/A,0.02
835 (tie),Community College of Allegheny County,Public,39500,55000,0.54,0.06
835 (tie),Daytona State College,Public,38100,55000,0.55,0.06
